,word1,word2,similarity
510,meet,swap,1.83
511,please,beg,1.16
512,renounce,defeat,3.32
513,participate,engage,6.47
514,snap,break,7.7
515,boom,explode,8.63
516,get,replace,4.15
517,toss,turn,4.23
518,laugh,embarrass,2.32
519,save,rescue,9.79
520,upset,hurt,6.31
521,appear,vanish,1.83
522,smell,offend,0.66
523,help,lend,5.98
524,move,avoid,3.65
525,talk,communicate,7.47
526,disturb,irritate,7.14
527,diminish,disappear,6.31
528,betray,lie,7.97
529,slurp,suck,5.81
530,stop,go,1.16
531,look,glance,8.8
532,hit,abuse,7.14
533,destroy,construct,0.5
534,reject,hurt,4.32
535,hike,walk,7.3
536,show,express,6.64
537,humiliate,embarrass,8.8
538,choke,cough,3.32
539,tickle,tease,3.15
540,compute,analyze,7.14
541,ride,drive,4.98
542,greet,salute,6.64
543,prosecute,judge,5.64
544,perform,dance,6.31
545,invent,create,7.8
546,squeak,crack,2.16
547,avoid,deny,2.82
548,divide,unite,0.17
549,spank,scold,3.15
550,call,collect,1.81
551,sip,gulp,2.99
552,crave,need,7.3
553,cover,bury,6.97
554,hurt,offend,6.81
555,win,compete,3.98
556,hit,beat,7.97
557,change,spare,1.83
558,tickle,giggle,3.32
559,bother,affect,5.98
560,haul,pull,8.13
561,go,start,8.3
562,disprove,prove,1.83
563,draw,attract,3.32
564,sit,rise,0.3
565,protect,watch,4.98
566,achieve,accomplish,8.47
567,taste,acquire,2.82
568,read,write,1.81
569,shake,dance,5.15
570,degrade,embarrass,5.81
571,attempt,try,8.63
572,pray,bless,4.15
573,polish,tarnish,2.32
574,mimic,tease,5.81
575,save,drown,1.33
576,grind,smash,4.65
577,need,depend,5.81
578,yearn,learn,0.83
579,defend,help,5.64
580,bake,fry,4.81
581,snuggle,hug,6.97
582,compute,understand,7.14
583,tear,wear,1.49
584,plead,please,1.66
585,neglect,leave,5.98
586,unload,dump,7.64
587,watch,see,8.13
588,slay,kill,9.46
589,originate,begin,7.64
590,avoid,hide,5.81
591,show,perform,6.14
592,prosper,grow,7.14
593,become,arrive,1.33
594,transplant,exchange,5.98
595,strike,hit,8.96
596,talk,argue,3.82
597,kill,poach,3.32
598,tell,squeal,4.81
599,please,request,1.83
600,lose,subtract,2.66
601,admit,tell,4.98
602,go,stay,0
603,concentrate,think,7.97
604,save,help,8.3
605,disintegrate,decay,7.3
606,delay,stop,4.15
607,add,multiply,3.15
608,give,return,3.32
609,slide,fall,3.82
610,blow,whistle,2.82
611,portray,show,8.63
612,attend,appear,4.15
613,insult,criticize,7.14
614,allow,deny,0.17
615,practice,repeat,7.47
616,find,determine,5.48
617,rip,tear,9.96
618,nag,annoy,6.31
619,hit,connect,3.82
620,yell,scream,8
621,hoot,holler,6.81
622,mend,break,1
623,organize,gather,4.81
624,suggest,advise,8.63
625,overwhelm,confuse,5.31
626,ask,please,1.66
627,change,affect,6.97
628,amuse,entertain,8.13
629,haul,take,4.32
630,suppose,imagine,6.31
631,follow,come,4.15
632,spend,save,1
633,tap,touch,7.64
634,fling,shoot,4.81
635,meet,introduce,2.82
636,rationalize,justify,8.8
637,update,review,4.32
638,sew,weave,5.15
639,shrink,grow,1
640,fail,try,1.49
641,destroy,smash,6.79
642,steal,sneak,6.14
643,retreat,go,3.49
644,run,rush,6.81
645,lean,stand,3.98
646,return,take,1.49
647,rejoice,celebrate,8.3
648,choke,die,4.65
649,hate,shun,5.64
650,disown,renounce,7.64
651,reject,refuse,7.97
652,teach,show,5.81
653,fight,disagree,5.98
654,debate,decide,4.65
655,follow,chase,7.14
656,reject,disown,6.47
657,desire,yearn,7.47
658,die,smother,2.66
659,unite,combine,8.3
660,tell,notify,7.64
661,defrost,freeze,1.99
662,triumph,succeed,9.79
663,say,announce,8.3
664,destroy,explode,4.15
665,enjoy,participate,2.32
666,knit,crochet,4.98
667,laugh,tickle,3.98
668,tell,convince,4.48
669,achieve,finish,5.48
670,scratch,rub,3.98
671,stamp,lick,0.17
672,hurt,ache,5.64
673,wrap,cover,8.47
674,help,hurt,0
675,think,reflect,8.13
676,follow,lead,0.17
677,run,operate,6.31
678,ignore,hurt,2.66
679,deny,prohibit,8.63
680,realize,set,1.16
681,exchange,swap,9.63
682,assume,judge,5.81
683,compound,mix,5.81
684,destroy,crush,6.97
685,bleach,wash,3.98
686,accuse,defend,0.66
687,fade,vanish,6.97
688,demand,command,6.14
689,decline,descend,5.64
690,spell,hypnotize,3.65
691,enter,admit,5.31
692,poach,boil,4.65
693,overcome,dominate,4.81
694,assume,suppose,9.13
695,deliver,give,6.97
696,prove,show,6.31
697,detach,attach,0.33
698,blow,hit,3.15
699,detach,separate,8.13
700,assist,aid,9.63
701,chew,bite,6.97
702,float,swim,4.65
703,squeal,laugh,5.64
704,need,urge,4.65
705,spill,pour,4.65
706,acquire,accumulate,8.47
707,retreat,run,5.64
708,hurt,fall,2.32
709,respond,remark,5.15
710,correct,fix,8.3
711,remain,stay,9.13
712,blame,hate,3.15
713,flip,flap,1.99
714,glide,flow,4.15
715,drink,quench,6.34
716,have,retain,6.47
717,scratch,hurt,4.32
718,go,leave,8.45
719,begin,stop,0.33
720,scribble,write,6.97
721,think,feel,3.32
722,swim,dip,3.15
723,ascend,descend,1.06
724,erode,deteriorate,7.47
725,evict,leave,4.32
726,flush,blush,5.31
727,rearrange,organize,8.13
728,smell,sweat,4.32
729,dance,entertain,2.99
730,stumble,fall,7.47
731,demand,reprimand,2.82
732,humiliate,insult,5.98
733,crunch,bite,6.64
734,tell,announce,7.97
735,smash,break,9.46
736,stop,adjourn,7.97
737,wash,soak,5.15
738,run,skip,4.15
739,reflect,shine,6.14
740,excuse,interrupt,0.66
741,speak,tell,6.81
742,complain,disagree,3.82
743,punch,fight,6.14
744,marry,wed,8.47
745,entertain,show,5.15
746,push,fight,4.98
747,learn,read,2.32
748,shun,reject,7.97
749,decline,reject,9.13
750,explain,describe,8.13
751,deny,admit,0.33
752,leave,excuse,4.38
753,dismiss,excuse,5.48
754,think,ponder,8.8
755,hit,pinch,2.99
756,frighten,scare,8.96
757,whistle,hum,4.98
758,play,perform,5.98
759,leave,take,1.16
760,sell,barter,5.31
761,wreck,drive,0.91
762,get,acquire,9.66
763,arrest,prosecute,3.49
764,snooze,doze,8.63
765,condemn,accuse,6.14
766,help,cry,0.66
767,conquer,dominate,6.64
768,receive,acquire,7.14
769,unite,marry,5.98
770,retreat,advance,0.33
771,catch,chase,3.49
772,jerk,pull,5.48
773,assault,hurt,6.81
774,travel,roam,4.83
775,attack,fight,6.97
776,hitch,attach,3.82
777,bother,interrupt,6.14
778,receive,deliver,1.49
779,capture,take,7.47
780,move,leave,4.81
781,achieve,try,4.15
782,retreat,charge,2.82
783,fasten,hold,4.32
784,rationalize,understand,5.98
785,restore,fix,7.8
786,come,leave,1
787,aggravate,frustrate,7.47
788,spank,hurt,4.15
789,smell,taste,2.49
790,lower,raise,0
791,sink,dip,6.14
792,hate,ignore,1.49
793,strain,lift,1.83
794,console,comfort,8.3
795,play,lead,2.32
796,talk,console,2.99
797,tease,bother,4.98
798,deny,lie,4.15
799,excel,advance,5.81
800,annoy,irritate,9.3
801,retreat,attack,0.83
802,drink,pop,0.5
803,spank,hit,8.3
804,shatter,break,7.3
805,lower,reduce,9.13
806,reappear,fix,1
807,sneak,hide,5.64
808,breathe,smother,0.66
809,adjourn,leave,4.81
810,persuade,urge,6.81
811,accumulate,gain,9.13
812,wiggle,move,7.14
813,renounce,deny,5.81
814,miss,hit,0.17
815,vary,differ,8.63
816,move,change,4.15
817,tow,move,4.48
818,tell,describe,7.64
819,punish,hit,4.48
820,talk,listen,1.16
821,urge,beg,4.98
822,grab,clench,6.47
823,heal,help,5.31
824,let,permit,8.13
825,search,look,9.63
826,lie,promise,0.33
827,set,swing,1.66
828,jog,run,7.47
829,stain,tarnish,6.79
830,talk,say,8.96
831,diminish,fade,7.8
832,ignore,disregard,7.8
833,die,kill,0.83
834,spank,slap,7.64
835,sew,crochet,6.81
836,talk,associate,4.15
837,touch,kiss,3.49
838,loosen,tie,0.33
839,lie,assume,1.49
840,gather,collect,9.63
841,punish,reprimand,7.97
842,have,want,1.83
843,tote,carry,7.3
844,fly,soar,8.3
845,reduce,save,4.15
846,stop,stay,6.47
847,spank,cry,1.16
848,obey,follow,7.97
849,lose,control,0.17
850,glide,hang,1.66
851,grab,take,5.98
852,hop,jump,6.81
853,argue,disagree,6.64
854,slide,move,4.48
855,incline,tend,5.15
856,stop,hesitate,5.15
857,toss,fling,8.13
858,kneel,beg,4.81
859,stare,look,7.47
860,disintegrate,perish,7.97
861,dislike,shun,5.81
862,deposit,return,0.6
863,stop,disallow,6.81
864,walk,crawl,2.32
865,renounce,reject,7.47
866,snore,snooze,4.15
867,look,see,7.97
868,assault,aggravate,3.65
869,obtain,have,7.8
870,beware,watch,4.81
871,talk,rap,4.32
872,tell,lie,2.16
873,cover,spread,4.98
874,descend,leave,2.66
875,take,snatch,7.8
876,call,bluff,2.66
877,cover,hide,6.47
878,pick,elect,7.47
879,smear,rub,5.98
880,keep,save,8.47
881,decrease,increase,0.17
882,disprove,disagree,5.98
883,sow,sew,1.66
884,claim,sue,2.82
885,allow,go,2.66
886,triumph,win,9.79
887,forget,leave,3.15
888,sit,lounge,6.47
889,disappear,dissolve,6.47
890,defend,stand,1.66
891,overcome,conquer,7.8
892,deliver,bring,6.14
893,kneel,sit,2.82
894,hurt,limp,2.99
895,disprove,reject,6.31
896,yell,holler,9.13
897,make,design,4.81
898,like,want,3.82
899,acquire,gain,8.8
900,regret,dislike,3.15
901,accept,understand,7.3
902,wiggle,giggle,0.83
903,hop,skip,5.81
904,push,pull,0.83
905,veer,turn,5.43
906,assume,know,2.49
907,hurt,condemn,2.32
908,defrost,thaw,8.47
909,scream,roar,7.14
910,convince,talk,4.32
911,retreat,leave,8.47
912,annoy,confuse,2.49
913,reject,ignore,7.3
914,destroy,diminish,5.64
915,haul,lift,6.14
916,wait,hesitate,6.14
917,give,sell,2.32
918,rise,lower,0.33
919,hurt,cry,2.49
920,multiply,increase,7.3
921,stop,flow,0.17
922,prosecute,try,4.48
923,justify,clarify,4.32
924,acknowledge,greet,5.64
925,scold,yell,6.47
926,shuffle,travel,1.66
927,lose,fail,7.14
928,speak,renounce,3.98
929,come,go,1.83
930,yell,criticize,1.83
931,bake,make,6.19
932,originate,start,8.45
933,attack,tackle,5.15
934,use,operate,8.47
935,run,flow,2.66
936,collect,acquire,6.97
937,move,turn,4.81
938,enter,leave,1.16
939,engage,marry,4.48
940,grab,reach,7.14
941,agree,disagree,0.66
942,replace,fill,3.15
943,hurt,whip,3.98
944,whip,punish,5.81
945,yell,roar,7.47
946,hurt,feel,5.15
947,fall,bounce,1.66
948,choose,pick,9.63
949,sew,knit,5.98
950,perish,leave,1.33
951,ponder,toil,3.15
952,wipe,spill,1
953,affect,respond,1.66
954,deliver,send,6.14
955,fix,mend,9.3
956,evaluate,examine,7.8
957,become,grow,5.15
958,learn,know,5.64
959,glare,reflect,3.49
960,cook,boil,5.98
961,lead,direct,6.97
962,talk,reply,5.31
963,inspect,search,6.31
964,respond,talk,4.98
965,argue,differ,6.14
966,betray,cheat,7.3
967,decrease,decline,6.64
968,increase,reduce,1.33
969,blur,smear,7.47
970,irritate,frustrate,7.8
971,sell,hustle,3.65
972,release,unload,7.14
973,want,demand,4.48
974,swear,damn,6.14
975,squint,glare,3.82
976,yell,hoot,3.49
977,result,finish,6.64
978,kick,hurt,3.98
979,incline,decline,0.33
980,leave,ascend,0.66
981,be,become,5.81
982,hypnotize,control,5.48
983,leave,return,0.15
984,despair,upset,3.65
985,determine,guess,1.99
986,beg,ask,4.48
987,kneel,bend,4.81
988,pelt,hit,6.81
989,lie,admit,3.32
990,pinch,punch,2.99
991,hit,pat,3.98
992,prosecute,charge,6.31
993,convince,explain,5.31
994,retain,keep,9.46
995,magnify,look,5.81
996,join,unite,9.3
997,differ,disagree,8.3
998,lie,disbelieve,1.49
999,annoy,mimic,1.33
1000,retain,hold,8.13
1001,exist,live,8.3
1002,keep,find,3.49
1003,receive,take,5.98
1004,know,think,2.57
1005,send,get,1.83
1006,recommend,suggest,8.47
1007,beat,whip,5.81
1008,pelt,throw,5.98
1009,win,lose,1.66
1010,hit,punch,7.64
1011,appear,reappear,4.65
1012,like,adore,5.15
1013,jump,flip,3.98
1014,magnify,see,3.98
1015,argue,discuss,4.15
1016,guess,know,1.83
1017,remark,say,7.97
1018,burst,explode,8.13
1019,notify,inform,8.75
1020,prepare,fix,3.15
1021,erode,decay,7.8
1022,do,participate,7.97
1023,reduce,diminish,6.81
1024,explain,understand,1.66
1025,crawl,run,1.33
1026,fasten,attach,8.47
1027,embarrass,blush,5.48
1028,hurt,bite,4.48
1029,ignore,avoid,8.47
1030,cry,sob,8.96
1031,flex,stretch,6.47
1032,deny,forbid,8.47
1033,pinch,squeeze,6.64
1034,conquer,win,7.47
1035,grant,give,6.97
1036,perish,disappear,3.62
1037,prohibit,ban,9.3
1038,shrink,reduce,9.13
1039,command,tell,7.8
1040,teach,inform,6.81
1041,waste,decompose,4.81
1042,demand,supply,3.15
1043,cry,upset,5.98
1044,suggest,say,5.81
1045,beg,need,3.65
1046,lose,gain,0.33
1047,abduct,kidnap,8.63
1048,give,disown,0.5
1049,sway,swing,7.47
1050,urge,crave,4.15
1051,broil,cook,6.97
1052,disallow,forbid,8.8
1053,melt,defrost,8.8
1054,reproduce,breed,9.46
1055,invent,make,6.64
1056,spell,write,5.31
1057,push,shove,9.3
1058,carry,hold,7.09
1059,slide,swing,3.49
1060,collect,keep,5.15
1061,stray,wander,7.47
1062,remove,strip,7.47
1063,decompose,destroy,5.48
1064,crackle,crunch,6.31
1065,think,hesitate,2.99
1066,pretend,imagine,6.97
1067,bump,hit,7.3
1068,appear,come,3.65
1069,examine,inspect,8.96
1070,increase,accelerate,5.89
1071,presume,believe,5.31
1072,acknowledge,exist,2.32
1073,grind,grate,6.47
1074,pop,explode,6.97
1075,tell,listen,0.66
1076,drive,permit,1.16
1077,break,unite,0.5
1078,smell,touch,1
1079,release,relax,4.48
1080,beat,abuse,6.81
1081,bother,aggravate,7.3
1082,grasp,hold,9.3
1083,take,seize,8.13
1084,acquire,buy,7.3
1085,create,reproduce,5.15
1086,explode,blow,5.81
1087,perceive,think,6.34
1088,wander,search,6.97
1089,whisper,scream,0.33
1090,punch,drink,0.83
1091,grab,pick,6.81
1092,bend,stretch,6.14
1093,pour,drip,3.15
1094,yell,announce,5.89
1095,inform,ask,2.49
1096,acknowledge,accept,6.81
1097,repair,replace,2.66
1098,destroy,corrupt,5.81
1099,look,review,6.14
1100,crush,grind,7.47
1101,do,stop,0.33
1102,go,strive,2.57
1103,pop,burst,8.8
1104,make,break,0.17
1105,weave,knit,6.14
1106,lose,gamble,1.83
1107,lean,lay,2.32
1108,determine,decide,7.8
1109,hurt,strain,5.81
1110,adore,admire,7.8
1111,pay,treat,5.15
1112,usurp,use,1.49
1113,wander,worry,1.66
1114,disguise,hide,7.97
1115,steal,cheat,3.98
1116,change,differ,5.81
1117,observe,see,9.3
1118,cough,sneeze,3.15
1119,prefer,want,6.14
1120,leave,flee,7.8
1121,mistreat,hurt,6.14
1122,kill,overpower,3.49
1123,cry,tease,1.51
1124,defend,justify,6.81
1125,depart,go,9.63
1126,design,invent,6.47
1127,knock,tap,5.31
1128,let,do,0.66
1129,disperse,separate,5.31
1130,reap,sow,0.66
